geometry,name,shop,amenity,tourism,healthcare,office,leisure,addr:street,addr:housenumber,addr:postcode,brand,operator,cuisine,lon,lat,lon_rnd,lat_rnd,name_norm,madrid_hdbscan_5_5
POINT (-3.7058614 40.4222634),,vacant,,,,,,Calle de la Luna,16,28004,,,,-3.7058614,40.4222634,-412536,4499806,,1328
POINT (-3.7059284 40.4223025),Atom Comics,books,,,,,,Calle de la Luna,16,28004,,,,-3.7059284,40.4223025,-412544,4499811,atom comics,1328
POINT (-3.7057552 40.4222973),Hostal Loyola,,,guest_house,,,,Calle de la Madera,1,28004,,,,-3.7057552,40.4222973,-412525,4499810,hostal loyola,1328
POINT (-3.7059946 40.4223476),Marly's,stationery,,,,,,Calle de la Luna,18,28004,,,,-3.7059946,40.4223476,-412551,4499816,marly's,1328
POINT (-3.7061069 40.4224185),Laocoonte,,college,,,,,Calle de la Luna,20,28004,,,,-3.7061069,40.4224185,-412564,4499824,laocoonte,1328
POINT (-3.7030606 40.4164716),Hostal Victoria II,,,guest_house,,,,Calle de Carretas,3,28012,,,,-3.7030606,40.4164716,-412225,4499162,hostal victoria ii,1242
POINT (-3.7030556 40.4163213),Hostal Victoria I,,,guest_house,,,,Calle de Carretas,7,28012,,,,-3.7030556,40.4163213,-412224,4499145,hostal victoria i,1242
POINT (-3.7030556 40.4162611),Hostal Pretoria,,,guest_house,,,,Calle de Carretas,7,28012,,,,-3.7030556,40.4162611,-412224,4499138,hostal pretoria,1242
POINT (-3.7030334 40.4156561),Hostal Playa II,,,guest_house,,,,Calle de Carretas,21,28012,,,,-3.7030334,40.4156561,-412222,4499071,hostal playa ii,1242
POINT (-3.7656093 40.389842),Espacio Miscela,,school,,,research,,Avenida del Padre Piquer,45,28024,,,,-3.7656093,40.389842,-419188,4496197,espacio miscela,234
POINT (-3.6192085 40.397779),Ahorramás,supermarket,,,,,,Bulevar de José Prat,35,28032,Ahorramás,,,-3.6192085,40.397779,-402890,4497081,ahorramás,283
POINT (-3.6223347 40.3970863),,,pharmacy,,pharmacy,,,Bulevar de José Prat,24,28032,,,,-3.6223347,40.3970863,-403238,4497004,,283
POINT (-3.6203052 40.40228),,,pharmacy,,pharmacy,,,Bulevar de Indalecio Prieto,,28032,,,,-3.6203052,40.40228,-403012,4497582,,283
POINT (-3.6225488 40.3966402),Banco Santander,,bank,,,,,Calle de las Alpujarras,2,28032,Banco Santander,Banco Santander,,-3.6225488,40.3966402,-403262,4496954,banco santander,283
POINT (-3.6220084 40.3978953),Caixabank,,bank,,,,,Bulevar de José Prat,19,28032,Caixabank,Caixabank,,-3.6220084,40.3978953,-403202,4497094,caixabank,283
POINT (-3.6219058 40.3982334),Covirán,convenience,,,,,,Calle de los Pinillas,24,28032,Covirán,,,-3.6219058,40.3982334,-403191,4497131,covirán,283
POINT (-3.6225435 40.3983728),BBVA,,bank,,,,,Bulevar de Indalecio Prieto,32,28032,BBVA,BBVA,,-3.6225435,40.3983728,-403262,4497147,bbva,283
POINT (-3.6234106 40.3962335),Los fogones de la abuela Pilar,,restaurant,,,,,Bulevar de Indalecio Prieto,46,28032,,,,-3.6234106,40.3962335,-403358,4496909,los fogones de la abuela pilar,283
POINT (-3.6206325 40.3975716),El Trasgu,,restaurant,,,,,Bulevar de José Prat,27,28032,,,,-3.6206325,40.3975716,-403049,4497058,el trasgu,283
POINT (-3.621465 40.3993684),La Churre,,cafe,,,,,Bulevar de Indalecio Prieto,29,28032,,,,-3.621465,40.3993684,-403141,4497258,la churre,283
POINT (-3.6215713 40.4008226),Pascual,,restaurant,,,,,Bulevar de Indalecio Prieto,24,28032,,,,-3.6215713,40.4008226,-403153,4497420,pascual,283
POINT (-3.6242554 40.3975443),Fu Li Hua,,restaurant,,,,,Bulevar de José Prat,12,28032,,,chinese,-3.6242554,40.3975443,-403452,4497055,fu li hua,283
POINT (-3.6249482 40.397702),El Toledano,,restaurant,,,,,Bulevar de José Prat,8,28032,,,,-3.6249482,40.397702,-403529,4497072,el toledano,283
POINT (-3.6245584 40.3976119),La Cumbre,,restaurant,,,,,Bulevar de José Prat,10 A,28032,,,,-3.6245584,40.3976119,-403486,4497062,la cumbre,283
POINT (-3.618837 40.3975302),La Cumbre,,restaurant,,,,,Bulevar de José Prat,35,28032,,,,-3.618837,40.3975302,-402849,4497053,la cumbre,283
POINT (-3.6227843 40.3960905),Cua-Cua,bakery,,,,,,Bulevar de Indalecio Prieto,45,28032,,,,-3.6227843,40.3960905,-403288,4496893,cua-cua,283
POINT (-3.6211592 40.3968068),La Bodeguita,,pub,,,,,Bulevar de José Prat,32 A,28032,,,,-3.6211592,40.3968068,-403107,4496973,la bodeguita,283
POINT (-3.6221459 40.3993601),La Estrella del Sur,bakery,,,,,,Bulevar de Indalecio Prieto,30,28032,,,,-3.6221459,40.3993601,-403217,4497257,la estrella del sur,283
POINT (-3.6181042 40.3973488),Kebab Faraón,,restaurant,,,,,Bulevar de José Prat,35,28032,,,kebab,-3.6181042,40.3973488,-402767,4497033,kebab faraón,283
POINT (-3.6226454 40.4023377),BareM@gnum,,bar,,,,,Plaza de Rosa Chacel,10,28032,,,,-3.6226454,40.4023377,-403273,4497588,barem@gnum,283
POINT (-3.6209489 40.4023331),La Esfera,,pub,,,,,Bulevar de Indalecio Prieto,14,28032,,,,-3.6209489,40.4023331,-403084,4497588,la esfera,283
POINT (-3.6209795 40.396769),La birra es Bella,,pub,,,,,Bulevar de José Prat,32 B,28032,,,,-3.6209795,40.396769,-403087,4496968,la birra es bella,283
POINT (-3.622353 40.3988437),As Sport Bar,,bar,,,,,Bulevar de Indalecio Prieto,26,28032,,,,-3.622353,40.3988437,-403240,4497199,as sport bar,283
POINT (-3.6228393 40.3959404),La malagueta chica,,restaurant,,,,,Bulevar de Indalecio Prieto,45,28032,,,,-3.6228393,40.3959404,-403294,4496876,la malagueta chica,283
POINT (-3.6228071 40.3950456),Copérnico Diez,,pub,,,,,Calle de Copérnico,10,28032,,,,-3.6228071,40.3950456,-403291,4496776,copérnico diez,283
POINT (-3.6228715 40.3958576),La vida verde,convenience,,,,,,Bulevar de Indalecio Prieto,45,28032,,,,-3.6228715,40.3958576,-403298,4496867,la vida verde,283
POINT (-3.6230231 40.3954859),Opticalia,optician,,,,,,Bulevar de Indalecio Prieto,45,28032,Opticalia,,,-3.6230231,40.3954859,-403315,4496825,opticalia,283
POINT (-3.623074 40.39535),Centro Médico Valdesalud,,doctors,,doctor,,,Bulevar de Indalecio Prieto,45,28032,,,,-3.623074,40.39535,-403321,4496810,centro médico valdesalud,283
POINT (-3.6229667 40.3956186),Matin,hairdresser,,,,,,Bulevar de Indalecio Prieto,45,28032,,,,-3.6229667,40.3956186,-403309,4496840,matin,283
POINT (-3.6237017 40.3955002),La casa de mis amigos,convenience,,,,,,Bulevar de Indalecio Prieto,46,28032,,,,-3.6237017,40.3955002,-403390,4496827,la casa de mis amigos,283
POINT (-3.622921 40.3981109),Mapfre,,,,,insurance,,Bulevar de José Prat,13,28032,Mapfre,,,-3.622921,40.3981109,-403304,4497118,mapfre,283
POINT (-3.6225113 40.3967627),Exp. nº 210,tobacco,,,,,,Calle de las Alpujarras,2,28032,,,,-3.6225113,40.3967627,-403258,4496968,exp. nº 210,283
POINT (-3.6225904 40.3965493),Alimentación,convenience,,,,,,,,,,,,-3.6225904,40.3965493,-403267,4496944,alimentación,283
POINT (-3.6226296 40.3964483),Brasas Madrid,,restaurant,,,,,Calle de las Alpujarras,4,28032,,,venezolana,-3.6226296,40.3964483,-403271,4496933,brasas madrid,283
POINT (-3.6226736 40.3963491),English Connection,,language_school,,,,,Bulevar de Indalecio Prieto,43,28032,,,,-3.6226736,40.3963491,-403276,4496922,english connection,283
POINT (-3.625125 40.3977446),Pinturas Guerrero,paint,,,,,,Bulevar de José Prat,6,28032,,,,-3.625125,40.3977446,-403549,4497077,pinturas guerrero,283
POINT (-3.6214421 40.3968731),AsisDent,,dentist,,dentist,,,Bulevar de José Prat,30,28032,,,,-3.6214421,40.3968731,-403139,4496980,asisdent,283
POINT (-3.6216799 40.3969403),Di Carlo,,restaurant,,,,,Bulevar de José Prat,28,28032,,,pizza,-3.6216799,40.3969403,-403165,4496987,di carlo,283
POINT (-3.6219303 40.3969967),La Botica Alternativa,herbalist,,,,,,Bulevar de José Prat,28,28032,,,,-3.6219303,40.3969967,-403193,4496994,la botica alternativa,283
POINT (-3.6221851 40.3970518),Mundo 100,variety_store,,,,,,Bulevar de José Prat,24,28032,,,,-3.6221851,40.3970518,-403222,4497000,mundo 100,283
POINT (-3.6204927 40.3966586),Centro de Día de Soporte Social,,community_centre,,,,,Bulevar de José Prat,36,28032,,,,-3.6204927,40.3966586,-403033,4496956,centro de día de soporte social,283
POINT (-3.6207985 40.3967281),La Gruta,,restaurant,,,,,Bulevar de José Prat,34,28032,,,,-3.6207985,40.3967281,-403067,4496964,la gruta,283
POINT (-3.6248487 40.398561),Prensa,newsagent,,,,,,Bulevar de José Prat,5,28032,,,,-3.6248487,40.398561,-403518,4497168,prensa,283
POINT (-3.6243871 40.3984501),Go-Pai Sport,,,,,,sports_centre,Bulevar de José Prat,7 B,28032,,,,-3.6243871,40.3984501,-403467,4497155,go-pai sport,283
POINT (-3.6239165 40.3983449),Casa Manolo,,restaurant,,,,,Bulevar de José Prat,9 B,28032,,,,-3.6239165,40.3983449,-403414,4497144,casa manolo,283
POINT (-3.6236084 40.3982722),La Alhambra,butcher,,,,,,Bulevar de José Prat,11,28032,,,,-3.6236084,40.3982722,-403380,4497136,la alhambra,283
