geometry,name,shop,amenity,tourism,healthcare,office,leisure,addr:street,addr:housenumber,addr:postcode,brand,operator,cuisine,lon,lat,lon_rnd,lat_rnd,name_norm,madrid_hdbscan_5_5
POINT (-3.7301349 40.4424878),Cafetería,,cafe,,,,,,,,,,,-3.7301349,40.4424878,-415239,4502058,cafetería,87
POINT (-3.730118 40.4428705),Reprografía,copyshop,,,,,,,,,,,,-3.730118,40.4428705,-415237,4502100,reprografía,87
POINT (-3.7298776 40.4426113),Secretaría,,,,,government,,,,,,,,-3.7298776,40.4426113,-415210,4502071,secretaría,87
POINT (-3.7292863 40.4431422),,,library,,,,,,,,,,,-3.7292863,40.4431422,-415144,4502131,,87
POINT (-3.7080438 40.4932719),Sánchez Romero,supermarket,,,,,,,,,,,,-3.7080438,40.4932719,-412779,4507711,sánchez romero,158
POINT (-3.7025353 40.4267297),Nueva Visión,,pub,,,,,Calle de Velarde,5,28004,,,,-3.7025353,40.4267297,-412166,4500304,nueva visión,1338
POINT (-3.6967178 40.4262711),Autoservicio,convenience,,,,,,Calle de Hortaleza,,,,,,-3.6967178,40.4262711,-411519,4500252,autoservicio,1087
POINT (-3.6911125 40.427537),Saddle,,restaurant,,,,,,,,,,,-3.6911125,40.427537,-410895,4500393,saddle,712
POINT (-3.6963628 40.4264346),The Place To Be,,restaurant,,,,,Plaza de Santa Bárbara,10,28004,,,,-3.6963628,40.4264346,-411479,4500271,the place to be,1087
POINT (-3.706951 40.345243),El prestamista,money_lender,,,,,,,,,,,,-3.706951,40.345243,-412658,4491232,el prestamista,131
POINT (-3.6955967 40.421766),La Pizzería,,restaurant,,,,,Calle del Barquillo,20,,,,,-3.6955967,40.421766,-411394,4499751,la pizzería,1183
POINT (-3.6990329 40.4153702),El Luarqués,,restaurant,,,,,Calle de Ventura de la Vega,16,28014,,,,-3.6990329,40.4153702,-411776,4499039,el luarqués,1214
POINT (-3.7063287 40.3489174),Azahara,greengrocer,,,,,,,,,,,,-3.7063287,40.3489174,-412589,4491641,azahara,131
POINT (-3.7064803 40.3489052),,variety_store,,,,,,,,,,,,-3.7064803,40.3489052,-412605,4491640,,131
POINT (-3.7065983 40.3489001),,greengrocer,,,,,,,,,,,,-3.7065983,40.3489001,-412619,4491640,,131
POINT (-3.7068062 40.3488857),Hiper Villaverde,supermarket,,,,,,,,,,,,-3.7068062,40.3488857,-412642,4491638,hiper villaverde,131
POINT (-3.7084195 40.3468635),,convenience,,,,,,,,,,,,-3.7084195,40.3468635,-412821,4491413,,131
POINT (-3.7081399 40.4161654),Little Caesars,,fast_food,,,,,Calle Mayor,36,28013,Little Caesars,,pizza,-3.7081399,40.4161654,-412790,4499128,little caesars,1225
POINT (-3.7041828 40.4190947),Outlet El Corte Inglés,clothes,,,,,,,,,,,,-3.7041828,40.4190947,-412350,4499454,outlet el corte inglés,1156
POINT (-3.7026336 40.4268161),Espacio Cientoypico,,events_venue,,,,,Calle de Velarde,14,28004,,,,-3.7026336,40.4268161,-412177,4500313,espacio cientoypico,1338
POINT (-3.7022832 40.4267802),,,restaurant,,,,,Calle de Velarde,8,28004,,,kebab,-3.7022832,40.4267802,-412138,4500309,,1338
POINT (-3.702239 40.4267759),Ekeko,clothes,,,,,,Calle de Velarde,6,28004,,,,-3.702239,40.4267759,-412133,4500309,ekeko,1338
POINT (-3.7022038 40.4267746),Fresa Acida,clothes,,,,,,Calle de Velarde,6,28004,,,,-3.7022038,40.4267746,-412129,4500309,fresa acida,1338
POINT (-3.7020092 40.4267587),El Rincón de Tía Jo,clothes,,,,,,Calle de Velarde,4,28004,,,,-3.7020092,40.4267587,-412108,4500307,el rincón de tía jo,1338
POINT (-3.7323665 40.3966042),,convenience,,,,,,,,,,,,-3.7323665,40.3966042,-415487,4496950,,504
POINT (-3.731315 40.3967895),,convenience,,,,,,,,,,,,-3.731315,40.3967895,-415370,4496971,,504
POINT (-3.7319778 40.3971668),Buchelli,car_repair,,,,,,,,,,,,-3.7319778,40.3971668,-415444,4497013,buchelli,504
POINT (-3.7317408 40.3971813),,pet,,,,,,,,,,,,-3.7317408,40.3971813,-415417,4497014,,504
POINT (-3.7522247 40.3731903),Iberdrola,,,,,company,,Calle de Joaquín Turina,,,,,,-3.7522247,40.3731903,-417698,4494344,iberdrola,518
POINT (-3.6970706 40.4259377),Number 16,,language_school,,,,,Calle de Fernando VI,,28004,,,,-3.6970706,40.4259377,-411558,4500215,number 16,1087
POINT (-3.6957091 40.4267108),Cacao Sampaka,chocolate,,,,,,Calle de Orellana,4,28004,,,,-3.6957091,40.4267108,-411406,4500301,cacao sampaka,1087
POINT (-3.6945217 40.4259183),Barbara Torrijos,clothes,,,,,,Calle de Argensola,21,28004,,,,-3.6945217,40.4259183,-411274,4500213,barbara torrijos,1099
POINT (-3.6946534 40.4257415),El Súper de los Pastores,supermarket,,,,,,Calle de Argensola,17,28004,,El Súper de los Pastores,,-3.6946534,40.4257415,-411289,4500194,el súper de los pastores,1099
POINT (-3.6947455 40.4256173),La Vulpeja,hairdresser,,,,,,Calle de Argensola,13,28004,,,,-3.6947455,40.4256173,-411299,4500180,la vulpeja,1099
POINT (-3.6947775 40.4255703),Librería Gaudi,books,,,,,,Calle de Argensola,13,28004,,,,-3.6947775,40.4255703,-411303,4500174,librería gaudi,1099
POINT (-3.6945962 40.425593),Eliel,clothes,,,,,,Calle de Argensola,20,28004,,,,-3.6945962,40.425593,-411282,4500177,eliel,1099
POINT (-3.69461 40.4255731),Simay,clothes,,,,,,Calle de Argensola,20,28004,,,,-3.69461,40.4255731,-411284,4500175,simay,1099
POINT (-3.6946244 40.4255544),Napa,bag,,,,,,Calle de Argensola,20,28004,,,,-3.6946244,40.4255544,-411286,4500173,napa,1099
POINT (-3.7086944 40.3464399),ONCE,lottery,,,,,,,,,,,,-3.7086944,40.3464399,-412852,4491366,once,131
