geometry,name,shop,amenity,tourism,healthcare,office,leisure,addr:street,addr:housenumber,addr:postcode,brand,operator,cuisine,lon,lat,lon_rnd,lat_rnd,name_norm,Murcia_hdbscan_5_5
POINT (-1.1407583039486078 37.985696866088624),Centro de Salud Mental San Andrés,,clinic,,,,,Calle del Escultor José Sánchez Lozano,,30005.0,,,,-1.1407583039486078,37.985696866088624,-126989,4228568,centro de salud mental san andrés,-1
POINT (-1.1428801691994723 37.987771292046716),Colegio Nuestra Señora de la Fuensanta- Jesús María,,school,,,,,Calle Senda de Enmedio,1,30009.0,,,,-1.1428801691994723,37.987771292046716,-127225,4228799,colegio nuestra señora de la fuensanta- jesús maría,-1
POINT (-1.1439198416360894 37.98988010111877),Federación Regional de Empresarios del Metal de Murcia (FREMM),,,,,association,,,,,,,,-1.1439198416360894,37.98988010111877,-127341,4229033,federación regional de empresarios del metal de murcia (fremm),-1
POINT (-1.1441960876628035 37.99040366885291),Federación Regional de Empresarios del Metal de Murcia (FREMM),,,,,association,,,,,,,,-1.1441960876628035,37.99040366885291,-127372,4229092,federación regional de empresarios del metal de murcia (fremm),-1
POINT (-1.1374967875589268 37.989295153743235),Centro de Artesanía de Murcia,,arts_centre,,,,,Calle Francisco Rabal,8,30009.0,,,,-1.1374967875589268,37.989295153743235,-126626,4228968,centro de artesanía de murcia,-1
POINT (-1.1375426667301596 37.98838781350269),Museo de la Ciudad de Murcia,,,museum,,,,Plaza de Las Agustinas,7,30005.0,,,,-1.1375426667301596,37.98838781350269,-126631,4228867,museo de la ciudad de murcia,-1
POINT (-1.1384364228100694 37.98666651891457),Museo Salzillo,,,museum,,,,Plaza San Agustín,3,30005.0,,,,-1.1384364228100694,37.98666651891457,-126731,4228676,museo salzillo,-1
POINT (-1.137259636219082 37.98444064532844),Centro Municipal García Alix,,community_centre,,,,,,,,,,,-1.137259636219082,37.98444064532844,-126600,4228428,centro municipal garcía alix,-1
POINT (-1.1341512462894117 37.9839891545236),Sala de exposiciones Iglesia de Verónicas,,arts_centre,,,,,Calle Verónicas,,30004.0,,,,-1.1341512462894117,37.9839891545236,-126254,4228378,sala de exposiciones iglesia de verónicas,-1
POINT (-1.1325199293296648 37.983558850162275),Colegio Oficial de Arquitectos de la Región de Murcia,,,,,association,,Calle Poeta Jara Carrillo,5,30004.0,,,,-1.1325199293296648,37.983558850162275,-126072,4228330,colegio oficial de arquitectos de la región de murcia,-1
POINT (-1.1323336852238524 37.992828982395146),Antigua Prisión Provincial,,,attraction,,,,,,,,,,-1.1323336852238524,37.992828982395146,-126051,4229362,antigua prisión provincial,-1
POINT (-1.1368921000000016 37.98902275000001),Club Taurino de Murcia-Museo,,,museum,,,,,,,,,,-1.1368921000000016,37.98902275000001,-126559,4228938,club taurino de murcia-museo,89
POINT (-1.1161074822410173 37.97847779563039),Escuela Oficial de Idiomas de Murcia,,language_school,,,,,Calle Sevilla Alberto,,30011.0,,,,-1.1161074822410173,37.97847779563039,-124245,4227764,escuela oficial de idiomas de murcia,-1
POINT (-1.1153543372750894 37.97882187545242),Colegio de Educación Infantil y Primaria Infante Don Juan Manuel,,school,,,,,Calle Alberto Sevilla,6,30011.0,,,,-1.1153543372750894,37.97882187545242,-124161,4227802,colegio de educación infantil y primaria infante don juan manuel,-1
POINT (-1.115342016526698 37.9782591014878),Centro Público de Educación de Personas Adultas Infante,,school,,,,,,,,,,,-1.115342016526698,37.9782591014878,-124160,4227740,centro público de educación de personas adultas infante,73
POINT (-1.1221954238095821 37.97723674307875),,,,,,,park,,,,,,,-1.1221954238095821,37.97723674307875,-124923,4227626,,-1
POINT (-1.06390213805022 37.97764503722652),,,,,,,park,,,,,,,-1.06390213805022,37.97764503722652,-118434,4227671,,21
POINT (-1.0691322759350073 37.97347458201434),Parque de MonteAzahar,,,,,,park,,,,,,,-1.0691322759350073,37.97347458201434,-119016,4227207,parque de monteazahar,23
POINT (-1.1690771863476324 37.936341982967804),Jardín Plaza de la Democracia,,,,,,park,,,,,,,-1.1690771863476324,37.936341982967804,-130142,4223074,jardín plaza de la democracia,55
POINT (-1.1354426069346204 38.021698328273395),Supermercado Ideal,supermarket,,,,,,,,,,,,-1.1354426069346204,38.021698328273395,-126397,4232575,supermercado ideal,41
POINT (-1.133270952146451 38.02604458109329),Colegio de Educación Especial Pérez Urruti,,school,,,,,,,30110.0,,,,-1.133270952146451,38.02604458109329,-126156,4233059,colegio de educación especial pérez urruti,40
