geometry,name,shop,amenity,tourism,healthcare,office,leisure,addr:street,addr:housenumber,addr:postcode,brand,operator,cuisine,lon,lat,lon_rnd,lat_rnd,name_norm,Malaga_hdbscan_5_5
POINT (-4.351054576126655 36.72333178318951),Mercadona,supermarket,,,,,,,,29018.0,Mercadona,Mercadona,,-4.351054576126655,36.72333178318951,-484359,4088041,mercadona,-1
POINT (-4.509866479035469 36.67414700575504),,,,,,,park,,,,,,,-4.509866479035469,36.67414700575504,-502038,4082566,,18
POINT (-4.4811618196470935 36.73692407762098),Plaza Poeta Gámez Quintana,,,,,,park,,,,,,,-4.4811618196470935,36.73692407762098,-498843,4089554,plaza poeta gámez quintana,17
POINT (-4.456697785013532 36.696925344254495),,,,,,,park,,,,,,,-4.456697785013532,36.696925344254495,-496120,4085102,,92
POINT (-4.466962907048401 36.73143147328621),,,,,,,park,,,,,,,-4.466962907048401,36.73143147328621,-497262,4088943,,40
POINT (-4.442200439219737 36.70878313134774),"Venerable Hermandad del Santísimo Cristo de la Humildad y Paciencia, María Santísima de Dolores y Esperanza y Nuestra Señora de la Aurora",,community_centre,,,,,,1,29006.0,,,,-4.442200439219737,36.70878313134774,-494506,4086422,"venerable hermandad del santísimo cristo de la humildad y paciencia, maría santísima de dolores y esperanza y nuestra señora de la aurora",109
POINT (-4.364819714288532 36.72286153163291),Plaza Alfonso Comín,,,,,,park,,,,,,,-4.364819714288532,36.72286153163291,-485892,4087989,plaza alfonso comín,-1
POINT (-4.37343370627957 36.73564374596103),Parque Rafael Santiago García,,,,,,park,,,,,,,-4.37343370627957,36.73564374596103,-486851,4089412,parque rafael santiago garcía,-1
POINT (-4.350836462595293 36.720856731493804),Colegio de Educación Infantil Antonio Gutiérrez Mata,,school,,,,,Carretera Olías,48,29018.0,,,,-4.350836462595293,36.720856731493804,-484335,4087766,colegio de educación infantil antonio gutiérrez mata,33
POINT (-4.4173559520296 36.742289448167526),Parque Mangas Verdes,,,,,,park,,,,,,,-4.4173559520296,36.742289448167526,-491740,4090152,parque mangas verdes,-1
POINT (-4.3512205322255095 36.71898783318959),Colegio Público Miguel Hernández,,school,,,,,Calle Doctor Don Antonio Gutiérrez Mata,1,,,,,-4.3512205322255095,36.71898783318959,-484378,4087558,colegio público miguel hernández,33
