geometry,name,shop,amenity,tourism,healthcare,office,leisure,addr:street,addr:housenumber,addr:postcode,brand,operator,cuisine,lon,lat,lon_rnd,lat_rnd,name_norm,madrid_hdbscan_5_5
POINT (-3.7041045 40.4742742),Autoservicio Altamira,convenience,,,,,,Avenida de El Ferrol,,28029,,,,-3.7041045,40.4742742,-412341,4505596,autoservicio altamira,433
POINT (-3.7047591 40.4741596),El caprichito,bakery,,,,,,Avenida de El Ferrol,,28029,,,,-3.7047591,40.4741596,-412414,4505583,el caprichito,433
POINT (-3.7052916 40.4743974),Don Peine,hairdresser,,,,,,Avenida de El Ferrol,18,28029,,,,-3.7052916,40.4743974,-412473,4505610,don peine,433
POINT (-3.7053318 40.4744769),Togori,stationery,,,,,,Avenida de El Ferrol,18,28029,,,,-3.7053318,40.4744769,-412478,4505619,togori,433
POINT (-3.7051964 40.4744382),,lottery,,,,,,Avenida de El Ferrol,18,28029,,,,-3.7051964,40.4744382,-412462,4505614,,433
POINT (-3.7061606 40.4740479),,greengrocer,,,,,,Avenida de El Ferrol,29,28029,,,,-3.7061606,40.4740479,-412570,4505571,,433
POINT (-3.70628 40.474052),Kibo,hairdresser,,,,,,Avenida de El Ferrol,29,28029,,,,-3.70628,40.474052,-412583,4505571,kibo,433
POINT (-3.7055298 40.4740846),Joaquín,greengrocer,,,,,,Avenida de El Ferrol,,28029,,,,-3.7055298,40.4740846,-412500,4505575,joaquín,433
POINT (-3.7051015 40.4744475),Híper Euro,gift,,,,,,Avenida del Ferrol,18,28029,,,,-3.7051015,40.4744475,-412452,4505615,híper euro,433
POINT (-3.706035 40.4743863),A tu estilo,bakery,,,,,,Avenida de El Ferrol,22,28029,,,,-3.706035,40.4743863,-412556,4505609,a tu estilo,433
POINT (-3.7010755 40.4098607),Bajo el Volcán,variety_store,,,,,,,,,,,,-3.7010755,40.4098607,-412004,4498426,bajo el volcán,1060
POINT (-3.7167569 40.4303239),Ortiz Sanz,confectionery,,,,,,,,,,,,-3.7167569,40.4303239,-413749,4500704,ortiz sanz,1001
POINT (-3.6697588 40.5114897),Kundan,,restaurant,,,,,Calle de Hospital de Órbigo,9,28050,,,indian,-3.6697588,40.5114897,-408518,4509739,kundan,148
POINT (-3.7101673 40.4376192),87 Millas,,restaurant,,,,,Calle de Galileo,75,,,,,-3.7101673,40.4376192,-413016,4501516,87 millas,981
POINT (-3.6202616 40.3796891),Multiópticas,optician,,,,,,,,,Multiópticas,,,-3.6202616,40.3796891,-403008,4495067,multiópticas,100
POINT (-3.6195978 40.3796587),Caixabank,,bank,,,,,,,,Caixabank,Caixabank,,-3.6195978,40.3796587,-402934,4495064,caixabank,100
POINT (-3.7109953 40.4387534),Hnos Ortiz Sanz,confectionery,,,,,,Calle de Cea Bermúdez,31,,,,,-3.7109953,40.4387534,-413108,4501642,hnos ortiz sanz,981
POINT (-3.7105691 40.4387416),Tandoori Masala,,restaurant,,,,,Calle de Cea Bermúdez,27,,,,,-3.7105691,40.4387416,-413061,4501641,tandoori masala,981
POINT (-3.7100895 40.4387242),Panaria,bakery,,,,,,,,,,,,-3.7100895,40.4387242,-413007,4501639,panaria,981
POINT (-3.7057283 40.4119892),Sala Equis,,cinema,,,,,Calle del Duque de Alba,4,28012,,,,-3.7057283,40.4119892,-412522,4498663,sala equis,1153
POINT (-3.7106286 40.4390302),Alcaravea,,restaurant,,,,,Calle de Cea Bermúdez,38,,,Alcaravea,spanish,-3.7106286,40.4390302,-413067,4501673,alcaravea,981
POINT (-3.6796966 40.4584187),Caja de Ingenieros,,bank,,,,,,,,,,,-3.6796966,40.4584187,-409624,4503831,caja de ingenieros,618
POINT (-3.6792483 40.458846),Hospital Veterinario Alberto Alcocer,,veterinary,,,,,,,,,,,-3.6792483,40.458846,-409574,4503879,hospital veterinario alberto alcocer,618
POINT (-3.7059197 40.4117751),Bankinter,,bank,,,,,Calle del Duque de Alba,17,28012,Bankinter,,,-3.7059197,40.4117751,-412543,4498639,bankinter,1153
POINT (-3.704073 40.4370214),Printer Rotulación,printing,,,,,,Calle de Bravo Murillo,32,28015,,,,-3.704073,40.4370214,-412337,4501449,printer rotulación,1145
